Medio Cultivo;C�d-lab;Cepa;Victoria;Proyecto;Pigmentaci�n;Lecitinasa;Ureasa;Lipasa;Amilasa;Proteasa;Catalasa;Celulasa;Fosfatasa;AIA;5 �C;37 �C;25 �C;AMP;AMC/AML;FEP;CTX;CXM;CAZ;ETP;I/R;CN;AK;K;S;NA/ND;C;AZM;TE;DO;AM E.coli;AM S.aureus;Metabolomica;16S;Nicol�s;Gram;morfologia;Genomas;Origen;;;;;;;;;;
CM;;3CA;;;;-;;-;-;-;++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Cascada LM;;;;;;;;;;
lb/3;;3 LML;;;Blanco;+;-;++;-;-;-;-;+++;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;2CT;;;Blanco;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;Cascada LM;;;;;;;;;;
CM;;2CA;;;;+;;+;-;+;+;+;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Cascada LM;;;;;;;;;;
TSA;;21LMT;;;Blanco;-;;-;-;+++;++;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;1LMT;;;;-;+;-;+;-;P;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Cocos;;Lago maravilloso;;;;;;;;;;
TSA;;1CT;;;Blanco;+;-;-;-;+++;++;-;+++;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;Cascada LM;;;;;;;;;;
CM;;1CA;;;Blanco ;-;+;-;-;-;++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Cascada LM;;;;;;;;;;
TSA;;19LMT;;;Blanco;-;-;-;-;++;+;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;18LMT;;;Blanco;+;-;+;+;-;++;-;++;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;17LMT;;;Blanco;-;-;-;-;+++;+++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
